Fecha,DIALLU0.1,HUMCALH,HUMCALMAXD,HUMCALMIND,HUMSUEPROF1MTS,HUMAIR2MTSH,HUMSUE20CMH,PREACU2MIN,PREINT30MIN,TEMSUE10CM
2019-02-13 07:00:00,0,92,92,47,6.8,5.6,23.2,7.4,0,8
2019-02-14 07:00:00,0,90,90,36,6.8,6,22.4,7.6,0,7.8
2019-02-15 07:00:00,1,90,90,34,5.8,5,25,6.6,0.5,6.6
2019-02-18 07:00:00,0,93,93,60,10,6,19.4,10.6,0,11
2019-02-19 07:00:00,1,89,89,53,11.2,9.8,21.2,12.2,6.6,12
2019-02-20 07:00:00,0,91,91,33,11,11.2,21,11.8,0,11.8
2019-02-21 07:00:00,0,87,87,55,9.4,9.8,21,10.6,0,9.8
2019-02-22 07:00:00,1,90,90,49,6.6,6.6,23.2,7.4,0.6,8.2
2019-02-25 07:00:00,1,94,94,46,11.6,7,21.8,12.2,0.5,12
2019-02-26 07:00:00,0,90,90,46,7.6,7.2,20.2,8.4,0,8.8
2019-02-27 07:00:00,0,81,81,56,10,8.4,20,11.8,0,12.6
2019-02-28 07:00:00,0,89,89,55,10.4,11,19.6,11.4,0,12
2019-03-01 07:00:00,1,91,91,49,9.6,8.6,22.4,10.4,14.4,11.2
2019-03-06 07:00:00,0,91,91,40,11.2,11.4,23,12,0,12.8
2019-03-07 07:00:00,0,91,91,49,9.4,8,21.4,10.2,0,10
2019-03-08 07:00:00,0,92,92,59,6.4,6.2,19,7,0,7.2
2019-03-11 07:00:00,1,85,85,62,11.2,7,20,12.6,0.4,12
2019-03-12 07:00:00,0,89,89,55,11.6,11.8,20.2,12.6,0,12
2019-03-13 07:00:00,0,88,88,50,12,12.4,21.8,13.2,0,13
2019-03-14 07:00:00,0,83,83,50,10.8,10.6,20.2,12.4,0,12
2019-03-15 07:00:00,0,91,91,41,10.4,10.6,22,11.2,0,11
2019-03-18 07:00:00,1,91,91,60,8.6,8.8,22,9.4,0.8,14
2019-03-19 07:00:00,1,74,74,61,10.2,11.2,21,12.8,28.5,12
